Model,Source_File,,precision,recall,f1-score,support
DNN,report_01_DNN_4_lay.csv,weighted avg,0.9841,0.9746,0.9784,138329.0
DBN,report_01_DBN_4_lay.csv,weighted avg,0.9833,0.9796,0.9809,138329.0
MLP,report_01_MLP_4_lay.csv,weighted avg,0.9878,0.9678,0.9759,138329.0
