,precision,recall,f1-score,support
0,0.8669,0.7939,0.8288,30000.0
1,0.9985,0.9993,0.9989,30000.0
2,0.9999,0.9916,0.9957,30000.0
3,0.999,0.9907,0.9949,30000.0
4,0.9607,0.7736,0.8571,30000.0
5,0.8943,0.7657,0.825,16457.0
6,0.1199,0.7708,0.2075,2064.0
accuracy,0.8941,0.8941,0.8941,0.8941
macro avg,0.8342,0.8694,0.8154,168521.0
weighted avg,0.9478,0.8941,0.9154,168521.0
