,precision,recall,f1-score,support
0,0.8724,0.7441,0.8031,30000.0
1,0.9989,0.9994,0.9991,30000.0
2,0.9998,0.9941,0.997,30000.0
3,0.9999,0.9904,0.9952,30000.0
4,0.979,0.748,0.848,30000.0
5,0.9395,0.7174,0.8136,16457.0
6,0.1037,0.8983,0.1859,2064.0
accuracy,0.8779,0.8779,0.8779,0.8779
macro avg,0.8419,0.8702,0.806,168521.0
weighted avg,0.9564,0.8779,0.9082,168521.0
