,precision,recall,f1-score,support
0,0.9104,0.7725,0.8358,30000.0
1,0.9992,0.9993,0.9993,30000.0
2,0.9947,0.9979,0.9963,30000.0
3,0.9998,0.9909,0.9954,30000.0
4,0.9486,0.8044,0.8705,30000.0
5,0.8703,0.822,0.8455,16457.0
6,0.1357,0.8052,0.2322,2064.0
accuracy,0.9028,0.9028,0.9028,0.9028
macro avg,0.837,0.8846,0.825,168521.0
weighted avg,0.9505,0.9028,0.9216,168521.0
