,precision,recall,f1-score,support
0,0.8958,0.7512,0.8172,30000.0
1,0.9991,0.9994,0.9993,30000.0
2,0.9963,0.9972,0.9967,30000.0
3,0.9999,0.9915,0.9956,30000.0
4,0.9607,0.7832,0.8629,30000.0
5,0.9023,0.7778,0.8355,16457.0
6,0.1148,0.8304,0.2017,2064.0
accuracy,0.8912,0.8912,0.8912,0.8912
macro avg,0.8384,0.8758,0.8156,168521.0
weighted avg,0.9532,0.8912,0.9157,168521.0
