,precision,recall,f1-score,support
0,0.8547,0.8099,0.8317,30000.0
1,0.9991,0.9993,0.9992,30000.0
2,0.9984,0.9955,0.997,30000.0
3,0.9999,0.9911,0.9955,30000.0
4,0.9835,0.743,0.8465,30000.0
5,0.9187,0.7394,0.8194,16457.0
6,0.1223,0.8609,0.2142,2064.0
accuracy,0.8908,0.8908,0.8908,0.8908
macro avg,0.8395,0.877,0.8148,168521.0
weighted avg,0.952,0.8908,0.914,168521.0
