,precision,recall,f1-score,support
0,0.8896,0.8027,0.8439,30000.0
1,0.9992,0.9994,0.9993,30000.0
2,0.9953,0.9977,0.9965,30000.0
3,0.9998,0.991,0.9953,30000.0
4,0.9612,0.7888,0.8665,30000.0
5,0.8785,0.8224,0.8495,16457.0
6,0.1379,0.7762,0.2343,2064.0
accuracy,0.9051,0.9051,0.9051,0.9051
macro avg,0.8374,0.8826,0.8265,168521.0
weighted avg,0.95,0.9051,0.9228,168521.0
