,precision,recall,f1-score,support
0,0.8557,0.6738,0.7539,30000.0
1,0.9988,0.9994,0.9991,30000.0
2,0.9998,0.9935,0.9967,30000.0
3,0.9999,0.99,0.9949,30000.0
4,0.9543,0.7357,0.8309,30000.0
5,0.9627,0.6012,0.7402,16457.0
6,0.0882,0.938,0.1612,2064.0
accuracy,0.8521,0.8521,0.8521,0.8521
macro avg,0.8371,0.8474,0.7824,168521.0
weighted avg,0.9511,0.8521,0.8888,168521.0
