,precision,recall,f1-score,support
0,0.8812,0.8272,0.8533,30000.0
1,0.9992,0.9994,0.9993,30000.0
2,0.9944,0.9984,0.9964,30000.0
3,0.9998,0.9912,0.9955,30000.0
4,0.96,0.7865,0.8647,30000.0
5,0.9189,0.7483,0.8249,16457.0
6,0.136,0.8241,0.2334,2064.0
accuracy,0.9025,0.9025,0.9025,0.9025
macro avg,0.8413,0.8822,0.8239,168521.0
weighted avg,0.952,0.9025,0.9217,168521.0
