,precision,recall,f1-score,support
0,0.9943,0.9935,0.9939,30000.0
1,0.9978,0.9981,0.998,30000.0
2,0.9986,0.9988,0.9987,30000.0
3,0.9987,0.9907,0.9947,28907.0
4,0.9982,0.997,0.9976,18819.0
5,0.6521,0.9386,0.7695,603.0
accuracy,0.9953,0.9953,0.9953,0.9953
macro avg,0.94,0.9861,0.9587,138329.0
weighted avg,0.996,0.9953,0.9955,138329.0
