,precision,recall,f1-score,support
0,0.9945,0.9859,0.9902,30000.0
1,0.9956,0.9977,0.9967,30000.0
2,0.9972,0.9984,0.9978,30000.0
3,0.9966,0.9921,0.9943,28907.0
4,0.998,0.9971,0.9976,18819.0
5,0.6227,0.9386,0.7487,603.0
accuracy,0.9938,0.9938,0.9938,0.9938
macro avg,0.9341,0.985,0.9542,138329.0
weighted avg,0.9946,0.9938,0.9941,138329.0
