,precision,recall,f1-score,support
0,0.9912,0.9825,0.9868,30000.0
1,0.9944,0.9978,0.9961,30000.0
2,0.9975,0.9974,0.9975,30000.0
3,0.9986,0.9874,0.993,28907.0
4,0.9982,0.9957,0.997,18819.0
5,0.4969,0.9353,0.649,603.0
accuracy,0.9917,0.9917,0.9917,0.9917
macro avg,0.9128,0.9827,0.9366,138329.0
weighted avg,0.9936,0.9917,0.9924,138329.0
