,precision,recall,f1-score,support
0,0.9931,0.9951,0.9941,30000.0
1,0.9981,0.9979,0.998,30000.0
2,0.9978,0.9991,0.9985,30000.0
3,0.9993,0.9897,0.9945,28907.0
4,0.9987,0.9957,0.9972,18819.0
5,0.6718,0.937,0.7825,603.0
accuracy,0.9953,0.9953,0.9953,0.9953
macro avg,0.9431,0.9858,0.9608,138329.0
weighted avg,0.9959,0.9953,0.9955,138329.0
