,precision,recall,f1-score,support
0,0.9942,0.996,0.9951,30000.0
1,0.9984,0.9985,0.9985,30000.0
2,0.9986,0.9989,0.9988,30000.0
3,0.9993,0.9905,0.9949,28907.0
4,0.9982,0.9991,0.9987,18819.0
5,0.7249,0.9353,0.8168,603.0
accuracy,0.9962,0.9962,0.9962,0.9962
macro avg,0.9523,0.9864,0.9671,138329.0
weighted avg,0.9965,0.9962,0.9963,138329.0
