,precision,recall,f1-score,support
0,0.9958,0.9905,0.9932,30000.0
1,0.9962,0.9985,0.9974,30000.0
2,0.9979,0.9988,0.9984,30000.0
3,0.9979,0.9919,0.9949,28907.0
4,0.9981,0.9972,0.9977,18819.0
5,0.6604,0.9386,0.7753,603.0
accuracy,0.995,0.995,0.995,0.995
macro avg,0.9411,0.9859,0.9595,138329.0
weighted avg,0.9957,0.995,0.9952,138329.0
