,precision,recall,f1-score,support
0,0.9848,0.9752,0.9799,30000.0
1,0.995,0.997,0.996,30000.0
2,0.9978,0.9962,0.997,30000.0
3,0.999,0.9819,0.9904,28907.0
4,0.9987,0.9957,0.9972,18819.0
5,0.3972,0.9453,0.5594,603.0
accuracy,0.9885,0.9885,0.9885,0.9885
macro avg,0.8954,0.9819,0.92,138329.0
weighted avg,0.9921,0.9885,0.9898,138329.0
