Model,Source_File,,precision,recall,f1-score,support
CNN,report_class_CNN_2_lay.csv,weighted avg,0.996,0.9953,0.9955,138329.0
DNN,report_class_DNN_2_lay.csv,weighted avg,0.9964,0.996,0.9961,138329.0
DBN,report_class_DBN_2_lay.csv,weighted avg,0.9957,0.995,0.9952,138329.0
MLP,report_class_MLP_2_lay.csv,weighted avg,0.995,0.9927,0.9935,138329.0
CNN-LSTM,report_class_CNN-LSTM_2_lay.csv,weighted avg,0.9969,0.9966,0.9967,138329.0
CNN-GRU,report_class_CNN-GRU_2_lay.csv,weighted avg,0.9966,0.9962,0.9963,138329.0
CNN-DNN,report_class_CNN-DNN_2_lay.csv,weighted avg,0.9968,0.9964,0.9965,138329.0
