,precision,recall,f1-score,support
0,0.9894,0.9845,0.9869,30000.0
1,0.9944,0.9983,0.9963,30000.0
2,0.9977,0.9974,0.9976,30000.0
3,0.9986,0.9845,0.9915,28907.0
4,0.9983,0.9957,0.997,18819.0
5,0.5159,0.9403,0.6663,603.0
accuracy,0.9916,0.9916,0.9916,0.9916
macro avg,0.9157,0.9835,0.9393,138329.0
weighted avg,0.9933,0.9916,0.9922,138329.0
