Model,Source_File,,precision,recall,f1-score,support
CNN,report_class_CNN_1_lay.csv,weighted avg,0.9946,0.9938,0.9941,138329.0
DNN,report_class_DNN_1_lay.csv,weighted avg,0.9966,0.9962,0.9964,138329.0
DBN,report_class_DBN_1_lay.csv,weighted avg,0.9959,0.9953,0.9955,138329.0
MLP,report_class_MLP_1_lay.csv,weighted avg,0.9956,0.995,0.9952,138329.0
CNN-LSTM,report_class_CNN-LSTM_1_lay.csv,weighted avg,0.9957,0.9938,0.9945,138329.0
CNN-GRU,report_class_CNN-GRU_1_lay.csv,weighted avg,0.9965,0.9962,0.9963,138329.0
CNN-DNN,report_class_CNN-DNN_1_lay.csv,weighted avg,0.9969,0.9965,0.9966,138329.0
