,precision,recall,f1-score,support
0,0.9969,0.9953,0.9961,30000.0
1,0.9988,0.9984,0.9986,30000.0
2,0.9986,0.9989,0.9988,30000.0
3,0.9981,0.9933,0.9957,28907.0
4,0.9984,0.9988,0.9986,18819.0
5,0.7225,0.937,0.8159,603.0
accuracy,0.9966,0.9966,0.9966,0.9966
macro avg,0.9522,0.987,0.9673,138329.0
weighted avg,0.9969,0.9966,0.9967,138329.0
