,precision,recall,f1-score,support
0,0.9965,0.9913,0.9939,30000.0
1,0.9966,0.9983,0.9975,30000.0
2,0.9982,0.9988,0.9985,30000.0
3,0.9973,0.9929,0.9951,28907.0
4,0.9982,0.9969,0.9975,18819.0
5,0.6698,0.9386,0.7818,603.0
accuracy,0.9953,0.9953,0.9953,0.9953
macro avg,0.9428,0.9861,0.9607,138329.0
weighted avg,0.9959,0.9953,0.9955,138329.0
