,precision,recall,f1-score,support
0,0.997,0.9926,0.9948,30000.0
1,0.9979,0.9983,0.9981,30000.0
2,0.9981,0.999,0.9985,30000.0
3,0.9975,0.9936,0.9955,28907.0
4,0.9984,0.9987,0.9985,18819.0
5,0.6985,0.9337,0.7991,603.0
accuracy,0.996,0.996,0.996,0.996
macro avg,0.9479,0.986,0.9641,138329.0
weighted avg,0.9964,0.996,0.9961,138329.0
