,precision,recall,f1-score,support
0,0.9968,0.9943,0.9955,30000.0
1,0.9983,0.9981,0.9982,30000.0
2,0.9983,0.9989,0.9986,30000.0
3,0.9978,0.9935,0.9956,28907.0
4,0.9984,0.9988,0.9986,18819.0
5,0.7234,0.937,0.8165,603.0
accuracy,0.9963,0.9963,0.9963,0.9963
macro avg,0.9522,0.9868,0.9672,138329.0
weighted avg,0.9967,0.9963,0.9964,138329.0
