,precision,recall,f1-score,support
0,0.997,0.9874,0.9922,30000.0
1,0.9949,0.9986,0.9967,30000.0
2,0.9975,0.9988,0.9982,30000.0
3,0.9964,0.9932,0.9948,28907.0
4,0.9985,0.9964,0.9975,18819.0
5,0.6469,0.9386,0.7659,603.0
accuracy,0.9945,0.9945,0.9945,0.9945
macro avg,0.9385,0.9855,0.9575,138329.0
weighted avg,0.9952,0.9945,0.9948,138329.0
