Model,Source_File,,precision,recall,f1-score,support
CNN,report_class_CNN_4_lay.csv,weighted avg,0.9967,0.9963,0.9964,138329.0
DNN,report_class_DNN_4_lay.csv,weighted avg,0.9952,0.9945,0.9948,138329.0
DBN,report_class_DBN_4_lay.csv,weighted avg,0.9933,0.9916,0.9922,138329.0
MLP,report_class_MLP_4_lay.csv,weighted avg,0.9936,0.9917,0.9924,138329.0
CNN-LSTM,report_class_CNN-LSTM_4_lay.csv,weighted avg,0.9966,0.9963,0.9964,138329.0
CNN-GRU,report_class_CNN-GRU_4_lay.csv,weighted avg,0.9968,0.9964,0.9965,138329.0
CNN-DNN,report_class_CNN-DNN_4_lay.csv,weighted avg,0.9959,0.9953,0.9955,138329.0
