,precision,recall,f1-score,support
0,0.9924,0.9785,0.9854,30000.0
1,0.9931,0.9967,0.9949,30000.0
2,0.9951,0.9972,0.9962,30000.0
3,0.9979,0.989,0.9935,28907.0
4,0.9981,0.9957,0.9969,18819.0
5,0.4849,0.932,0.6379,603.0
accuracy,0.9908,0.9908,0.9908,0.9908
macro avg,0.9103,0.9815,0.9341,138329.0
weighted avg,0.9929,0.9908,0.9915,138329.0
