,precision,recall,f1-score,support
0,0.9921,0.9664,0.9791,30000.0
1,0.9925,0.9977,0.9951,30000.0
2,0.9942,0.9972,0.9957,30000.0
3,0.9975,0.9888,0.9931,28907.0
4,0.9981,0.9957,0.9969,18819.0
5,0.3943,0.9337,0.5544,603.0
accuracy,0.9884,0.9884,0.9884,0.9884
macro avg,0.8948,0.9799,0.919,138329.0
weighted avg,0.992,0.9884,0.9897,138329.0
