,precision,recall,f1-score,support
0,0.9594,0.9068,0.9323,30000.0
1,0.9884,0.9984,0.9933,30000.0
2,0.9893,0.9964,0.9928,30000.0
3,0.9962,0.9533,0.9743,28907.0
4,0.9982,0.9957,0.997,18819.0
5,0.1696,0.8491,0.2828,603.0
accuracy,0.9677,0.9677,0.9677,0.9677
macro avg,0.8502,0.95,0.8621,138329.0
weighted avg,0.9817,0.9677,0.9734,138329.0
