,precision,recall,f1-score,support
0,0.9571,0.8726,0.9129,30000.0
1,0.975,0.9966,0.9857,30000.0
2,0.9903,0.9963,0.9933,30000.0
3,0.9972,0.9534,0.9748,28907.0
4,0.998,0.9957,0.9969,18819.0
5,0.1483,0.9138,0.2552,603.0
accuracy,0.9601,0.9601,0.9601,0.9601
macro avg,0.8443,0.9547,0.8531,138329.0
weighted avg,0.9786,0.9601,0.9676,138329.0
