,precision,recall,f1-score,support
0,0.9919,0.9772,0.9845,30000.0
1,0.9936,0.9957,0.9947,30000.0
2,0.9945,0.9974,0.996,30000.0
3,0.9979,0.9891,0.9935,28907.0
4,0.9987,0.9957,0.9972,18819.0
5,0.4652,0.932,0.6207,603.0
accuracy,0.9904,0.9904,0.9904,0.9904
macro avg,0.907,0.9812,0.9311,138329.0
weighted avg,0.9927,0.9904,0.9912,138329.0
